"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";7688;0;"nonmover";"adult";"united states";">50k";29;"husband"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";23;"wife"
"local government";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";29;"own child"
"private";"11th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;1848;"nonmover";"adult";"united states";"<=50k";52;"husband"
"private";"high school graduate";"never married";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"federal government";"high school graduate";"divorced";"adm support including clerical";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";62;"own child"
"self employed not incorporated";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"florida";"adult";"canada";"<=50k";50;"husband"
"private";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";25;"other relative"
"state government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"private";"10th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"wife"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";;">50k";49;"husband"
"private";"some college but no degree";"married civilian spouse present";"protective services";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";24;"husband"
"private";"high school graduate";"never married";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"north dakota";"adult";"united states";"<=50k";20;"husband"
"private";"high school graduate";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";57;"wife"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"canada";"<=50k";55;"wife"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"local government";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"1st 2nd 3rd or 4th grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";34;"husband"
"federal government";"some college but no degree";"divorced";"adm support including clerical";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";68;"husband"
"private";"9th grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"state government";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";51;"husband"
"private";"some college but no degree";"never married";"adm support including clerical";"asian or pacific islander";"female";"children or armed forces";0;0;"nonmover";"adult";"philippines";"<=50k";23;"own child"
"private";"some college but no degree";"never married";"executive admin and managerial";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"england";">50k";19;"own child"
"private";"some college but no degree";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";59;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";15024;0;"nonmover";"adult";"united states";">50k";46;"husband"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";45;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";69;"husband"
"private";"some college but no degree";"never married";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"own child"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"asian or pacific islander";"female";"pt for non econ reasons usually ft";5013;0;"nonmover";"adult";"united states";"<=50k";30;"other relative"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";15024;0;"nonmover";"adult";"united states";">50k";35;"husband"
"private";"11th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
"private";"bachelors degree(ba ab bs)";"widowed";"other service";"white";"female";"children or armed forces";0;2824;"nonmover";"adult";"united states";">50k";52;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";38;"wife"
"private";"some college but no degree";"separated";"professional specialty";"white";"female";"children or armed forces";1506;0;"new york";"adult";"united states";"<=50k";42;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"farming forestry and fishing";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"private";"9th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";33;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";">50k";59;"wife"
"private";"associates degree occup /vocational";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"private";"1st 2nd 3rd or 4th grade";"married civilian spouse present";"handlers equip cleaners etc";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"cuba";"<=50k";64;"wife"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"north dakota";"adult";"united states";"<=50k";35;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"own child"
"private";"high school graduate";"widowed";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";72;"husband"
"private";"10th grade";"never married";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"both parents present";"united states";"<=50k";17;"own child"
"federal government";"associates degree academic program";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"wife"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;1977;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"some college but no degree";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"puerto rico";"<=50k";62;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";55;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";48;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"cuba";">50k";32;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";47;"husband"
"private";"high school graduate";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";43;"husband"
"private";"bachelors degree(ba ab bs)";"separated";"professional specialty";"white";"male";"full time schedules";7430;0;"nonmover";"adult";"united states";">50k";39;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";51;"husband"
"private";"11th grade";"never married";"handlers equip cleaners etc";"white";"female";"unemployed part  time";0;0;"nonmover";"father only present";"united states";"<=50k";17;"own child"
"private";"bachelors degree(ba ab bs)";"never married";"other service";"white";"male";"children or armed forces";0;0;"california";"adult";;"<=50k";27;"husband"
"private";"some college but no degree";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";54;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";45;"wife"
"private";"some college but no degree";"never married";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";5013;0;"nonmover";"adult";"united states";"<=50k";40;"husband"
"private";"some college but no degree";"married civilian spouse present";"other service";"asian or pacific islander";"female";"full time schedules";0;0;"nonmover";"adult";"taiwan";"<=50k";47;"wife"
"self employed incorporated";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";40;"wife"
"self employed not incorporated";"some college but no degree";"never married";"adm support including clerical";"asian or pacific islander";"male";"not in labor force";0;0;"nonmover";"adult";"united states";"<=50k";22;"own child"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"north carolina";"adult";"united states";"<=50k";34;"husband"
"private";"high school graduate";"never married";"sales";"white";"male";"children or armed forces";0;0;"utah";"adult";"united states";"<=50k";20;"own child"
"local government";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";25;"own child"
"federal government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";33;"wife"
"self employed not incorporated";"7th and 8th grade";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";63;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"technicians and related support";"white";"female";"full time schedules";0;1887;"nonmover";"adult";"united states";"<=50k";45;"husband"
"private";"high school graduate";"never married";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";;"<=50k";37;"own child"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";51;"wife"
"private";"11th grade";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";53;"wife"
"private";"high school graduate";"widowed";"transportation and material moving";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";57;"husband"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"france";"<=50k";69;"husband"
"self employed incorporated";"5th or 6th grade";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"greece";"<=50k";38;"wife"
"private";"some college but no degree";"never married";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"georgia";"adult";;"<=50k";24;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"private";"some college but no degree";"never married";"sales";"asian or pacific islander";"female";"children or armed forces";0;0;"nonmover";"adult";"philippines";"<=50k";19;"own child"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"farming forestry and fishing";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"wife"
"private";"11th grade";"never married";"precision production craft & repair";"black";"male";"children or armed forces";0;0;"florida";"adult";"jamaica";"<=50k";24;"husband"
"private";"masters degree(ma ms meng med msw mba)";"never married";"executive admin and managerial";"white";"male";"children or armed forces";0;1974;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"associates degree occup /vocational";"divorced";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"some college but no degree";"married civilian spouse present";"sales";"asian or pacific islander";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"wife"
"local government";"11th grade";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";57;"wife"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";45;"husband"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"10th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"self employed not incorporated";"9th grade";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"wife"
"federal government";"bachelors degree(ba ab bs)";"never married";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";55;"wife"
"private";"associates degree occup /vocational";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"private";"high school graduate";"never married";"precision production craft & repair";"white";"male";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"private";"11th grade";"never married";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"high school graduate";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"own child"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"high school graduate";"divorced";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"puerto rico";"<=50k";36;"husband"
"private";"high school graduate";"divorced";"other service";"white";"female";"children or armed forces";0;0;"michigan";"adult";"united states";"<=50k";29;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";40;"wife"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";15024;0;"nonmover";"adult";"united states";">50k";52;"husband"
"private";"9th grade";"married civilian spouse present";"other service";"white";"female";"not in labor force";0;0;"nonmover";"adult";"united states";"<=50k";18;"wife"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";45;"husband"
"self employed not incorporated";"doctorate degree(phd edd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";15024;0;"nonmover";"adult";;">50k";64;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"wife"
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";38;"wife"
"federal government";"high school graduate";"widowed";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";79;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"asian or pacific islander";"male";"children or armed forces";0;0;"nonmover";"adult";"philippines";"<=50k";42;"husband"
"local government";"some college but no degree";"divorced";"other service";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"unmarried"
"private";"high school graduate";"never married";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"husband"
"self employed not incorporated";"bachelors degree(ba ab bs)";"never married";"precision production craft & repair";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"high school graduate";"separated";"other service";"black";"male";"children or armed forces";0;0;"florida";"adult";"united states";"<=50k";35;"unmarried"
"self employed incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";46;"husband"
"private";"bachelors degree(ba ab bs)";"widowed";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";43;"husband"
"state government";"high school graduate";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"massachusetts";"adult";"united states";"<=50k";40;"wife"
"private";"11th grade";"married civilian spouse present";"precision production craft & repair";"white";"female";"children or armed forces";0;0;"oklahoma";"adult";"united states";"<=50k";34;"wife"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;1887;"nonmover";"adult";"united states";"<=50k";34;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"wife"
"local government";"masters degree(ma ms meng med msw mba)";"divorced";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";59;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"north dakota";"adult";"united states";"<=50k";33;"wife"
"private";"5th or 6th grade";"never married";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";27;"other relative"
"self employed not incorporated";"less than 1st grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";39;"husband"
"private";"associates degree occup /vocational";"never married";"handlers equip cleaners etc";"white";"male";"full time schedules";2354;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"associates degree academic program";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;1740;"nonmover";"adult";"united states";"<=50k";29;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";51;"wife"
"private";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"utah";"adult";"united states";"<=50k";19;"husband"
"private";"high school graduate";"married civilian spouse present";"transportation and material moving";"white";"female";"children or armed forces";0;0;"new hampshire";"adult";"united states";"<=50k";52;"wife"
"local government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"local government";"high school graduate";"divorced";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";45;"husband"
"private";"some college but no degree";"never married";"technicians and related support";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"own child"
"private";"high school graduate";"married civilian spouse present";"other service";"asian or pacific islander";"female";"children or armed forces";0;0;"nonmover";"adult";"philippines";"<=50k";37;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"high school graduate";"divorced";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"unmarried"
"private";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";66;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";71;"husband"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"indiana";"adult";"united states";"<=50k";33;"husband"
"local government";"associates degree academic program";"never married";"protective services";"white";"male";"full time schedules";14084;0;"nonmover";"adult";"united states";">50k";29;"husband"
"state government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"asian or pacific islander";"female";"children or armed forces";0;0;"nonmover";"adult";"south korea";"<=50k";36;"other relative"
"private";"11th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"poland";"<=50k";58;"wife"
"local government";"doctorate degree(phd edd)";"divorced";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";53;"husband"
"private";"some college but no degree";"never married";"adm support including clerical";"white";"male";"children or armed forces";0;0;"maryland";"adult";"united states";"<=50k";21;"husband"
"local government";"some college but no degree";"married civilian spouse present";"transportation and material moving";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";43;"husband"
"local government";"11th grade";"never married";"other service";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"private";"associates degree occup /vocational";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"canada";"<=50k";46;"husband"
"private";"some college but no degree";"never married";"sales";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"self employed not incorporated";"7th and 8th grade";"married civilian spouse present";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"associates degree academic program";"never married";"handlers equip cleaners etc";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";64;"husband"
"self employed incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";15024;0;"nonmover";"adult";"germany";">50k";38;"husband"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"new york";"adult";"united states";"<=50k";19;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"kentucky";"adult";"united states";"<=50k";25;"husband"
"self employed not incorporated";"associates degree academic program";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"hungary";"<=50k";67;"husband"
"private";"10th grade";"never married";"other service";"black";"female";"children or armed forces";0;0;"california";"both parents present";"united states";"<=50k";17;"own child"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"high school graduate";"married civilian spouse present";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";75;"wife"
"private";"high school graduate";"never married";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";28;"other relative"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";52;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";58;"husband"
"private";"5th or 6th grade";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"guatemala";"<=50k";31;"husband"
"local government";"some college but no degree";"divorced";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"farming forestry and fishing";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";57;"husband"
"state government";"11th grade";"never married";"other service";"white";"female";"unemployed full time";0;0;"nonmover";"mother only present";"mexico";"<=50k";17;"own child"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"wife"
"private";"high school graduate";"never married";"other service";"white";"female";"children or armed forces";0;0;"nevada";"adult";"united states";"<=50k";19;"unmarried"
"self employed incorporated";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";44;"wife"
"private";"high school graduate";"never married";"sales";"black";"female";"unemployed full time";0;0;"nonmover";"adult";"puerto rico";"<=50k";26;"own child"
"self employed incorporated";"doctorate degree(phd edd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";99999;0;"nonmover";"adult";"united states";">50k";41;"husband"
